"Parcel","HouseNum","Ext","Rear","Unit","Dir","Street","Des","Loc","I Desig Date1","I Desig Date2","D Desig Date","District","Int Desig Date"
"344163100","6450",,,"0000000",,"Sherwood","Rd","6450 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344163200","6456",,,"0000000",,"Sherwood","Rd","6456 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344163300","6460",,,"0000000",,"Sherwood","Rd","6460 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344163400","6482",,,"0000000",,"Sherwood","Rd","6482 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344163500","6492",,,"0000000",,"Sherwood","Rd","6492 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169100","6401",,,"0000000",,"Sherwood","Rd","6401 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169200","6415",,,"0000000",,"Sherwood","Rd","6415 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169300","6419",,,"0000000",,"Sherwood","Rd","6419 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169400","6427",,,"0000000",,"Sherwood","Rd","6427 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169500","6429",,,"0000000",,"Sherwood","Rd","6429 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169600","6433",,,"0000000",,"Sherwood","Rd","6433 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169800","6437",,,"0000000",,"Sherwood","Rd","6437 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344169900","6441",,,"0000000",,"Sherwood","Rd","6441 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344170000","6451",,,"0000000",,"Sherwood","Rd","6451 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344170100","6463",,,"0000000",,"Sherwood","Rd","6463 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"344170300","6491",,,"0000000",,"Sherwood","Rd","6491 Sherwood Rd",,,12/9/2011 0:00:00,"OF",
"342136300","2018",,,"0000000",,"Upland","Way","2018 Upland Way",,,12/9/2011 0:00:00,"OF",
"342136500","2030",,,"0000000",,"Upland","Way","2030 Upland Way",,,12/9/2011 0:00:00,"OF",
"342136600","2034",,,"0000000",,"Upland","Way","2034 Upland Way",,,12/9/2011 0:00:00,"OF",
"881125555","2048",,,"0000000",,"Upland","Way","2048 Upland Way",,,12/9/2011 0:00:00,"OF",
"522011500","2001",,,"0000000",,"Upland","Way","2001 Upland Way",,,12/9/2011 0:00:00,"OF",
