parcel,HouseNum,Ext,Rear,Unit,Dir,Street,Des,address,I Desig Date1,I Desig Date2,D Desig Date,District,Int Desig Date,latitude,longitude
'344163100','6450','','','0000000','','Sherwood','Rd','6450 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9841261083704,-75.2556006857857
'344163200','6456','','','0000000','','Sherwood','Rd','6456 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9840109527826,-75.255861952968
'344163300','6460','','','0000000','','Sherwood','Rd','6460 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9838981530727,-75.2561052829211
'344163400','6482','','','0000000','','Sherwood','Rd','6482 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9837594626121,-75.2564209617705
'344163500','6492','','','0000000','','Sherwood','Rd','6492 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9836366155203,-75.2567074980895
'344169100','6401','','','0000000','','Sherwood','Rd','6401 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9853304630664,-75.2544068990166
'344169200','6415','','','0000000','','Sherwood','Rd','6415 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.985217744002,-75.2546538032963
'344169300','6419','','','0000000','','Sherwood','Rd','6419 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.985120790627,-75.2548679972709
'344169400','6427','','','0000000','','Sherwood','Rd','6427 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9850160700261,-75.2551038960918
'344169500','6429','','','0000000','','Sherwood','Rd','6429 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9848798162203,-75.2554052127208
'344169600','6433','','','0000000','','Sherwood','Rd','6433 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.984848438525,-75.2554777655268
'344169800','6437','','','0000000','','Sherwood','Rd','6437 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9846910842406,-75.2558191256044
'344169900','6441','','','0000000','','Sherwood','Rd','6441 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9845861291445,-75.2560443200092
'344170000','6451','','','0000000','','Sherwood','Rd','6451 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9843714270575,-75.2565270125004
'344170100','6463','','','0000000','','Sherwood','Rd','6463 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9842957249889,-75.2567082909992
'344170300','6491','','','0000000','','Sherwood','Rd','6491 Sherwood Rd','','','12/9/2011 0:00:00','OF','',39.9841410335902,-75.2570459775952
'342136300','2018','','','0000000','','Upland','Way','2018 Upland Way','','','12/9/2011 0:00:00','OF','',39.9872569903158,-75.2470315870957
'342136500','2030','','','0000000','','Upland','Way','2030 Upland Way','','','12/9/2011 0:00:00','OF','',39.9872569903158,-75.2470315870957
'342136600','2034','','','0000000','','Upland','Way','2034 Upland Way','','','12/9/2011 0:00:00','OF','',39.9872569903158,-75.2470315870957
'881125555','2048','','','0000000','','Upland','Way','2048 Upland Way','','','12/9/2011 0:00:00','OF','',39.9872569903158,-75.2470315870957
'522011500','2001','','','0000000','','Upland','Way','2001 Upland Way','','','12/9/2011 0:00:00','OF','',39.9868811103813,-75.245285365838
'522011700','2013','','','0000000','','Upland','Way','2013 Upland Way','','','12/9/2011 0:00:00','OF','',39.9871468715867,-75.2453826685577
'522011900','2025','','','0000000','','Upland','Way','2025 Upland Way','','','12/9/2011 0:00:00','OF','',39.9863770068111,-75.247606674806
'522012000','2027','','','0000000','','Upland','Way','2027 Upland Way','','','12/9/2011 0:00:00','OF','',39.9863770068111,-75.247606674806
'522012100','2037','','','0000000','','Upland','Way','2037 Upland Way','','','12/9/2011 0:00:00','OF','',39.9876676314323,-75.2457133397343
'522012300','2049','','','0000000','','Upland','Way','2049 Upland Way','','','12/9/2011 0:00:00','OF','',39.9879733651435,-75.2458805750624
'522173600','5800','','','0000000','','Woodbine','Ave','5800 Woodbine Ave','','','12/9/2011 0:00:00','OF','',39.9889682950711,-75.2397566215904
'522173900','5806','','','0000000','','Woodbine','Ave','5806 Woodbine Ave','','','12/9/2011 0:00:00','OF','',39.9888214955583,-75.2400762289813
